"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Guild"
"X_00084","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Unidentified","Unidentified","Unidentified"
"X_00120","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","adusta","EcMF"
"X_00149","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","fuckelii","Unassigned"
"X_00176","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","fortinii","Endophyte"
"X_00218","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","griseostipitata","EcMF"
"X_00226","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","tabidus","EcMF"
"X_00235","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","nyingchiensis","Endophyte"
"X_00249","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","sanguinea","EcMF"
"X_00265","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","velenovskyi","EcMF"
"X_00282","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","ochroleuca","EcMF"
"X_00286","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Unidentified","Other_RAF"
"X_00289","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","radiosa","EcMF"
"X_00337","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","vinaceorufescens","EcMF"
"X_00361","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Unidentified","Unidentified","Unidentified"
"X_00366","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","citrinomarginata","Other_RAF"
"X_00369","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Unidentified","EcMF"
