	SuperKingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
X_0211	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0224	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0481	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0484	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0510	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0602	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0681	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0827	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0880	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0950	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_1185	Eukaryota	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Unidentified_Umbelopsis
X_1213	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_1287	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_1367	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Unidentified_Suillus
X_1570	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_1647	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_1692	Eukaryota	Fungi	Mucoromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus_laccatum
X_1723	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_1732	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_1916	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_1979	Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces	Unidentified_Chytriomyces
X_2134	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_2138	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_2290	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_2474	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0001	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula	Unidentified_Betula
X_0002	Eukaryota	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Unidentified_Pinus
X_0004	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	Unidentified_Juglans
X_0005	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Unidentified_Acer
X_0006	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Unidentified_Prunus
X_0007	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Unidentified_Populus
X_0008	Eukaryota	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea_glauca
X_0010	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita_orientifulva
X_0011	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0014	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0016	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Unidentified_Quercus
X_0017	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Corylus	Unidentified_Corylus
X_0018	Eukaryota	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Larix	Unidentified_Larix
X_0020	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer_tataricum
X_0022	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0023	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	Toxicodendron	Unidentified_Toxicodendron
X_0024	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Unidentified_Amanita
X_0025	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0027	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0031	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0032	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Unidentified_Tomentella
X_0035	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Unidentified_Prunus
X_0037	Eukaryota	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Pachyphlodes	Pachyphlodes_nemoralis
X_0038	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0040	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Unidentified_Lactarius
X_0043	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Unidentified_Tomentella
X_0046	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0047	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0048	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Unidentified_Cantharellales	Unidentified_Cantharellales	Unidentified_Cantharellales
X_0052	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Unidentified_Thelephoraceae	Unidentified_Thelephoraceae
X_0053	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Tilia	Unidentified_Tilia
X_0062	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0063	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0064	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0070	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0071	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Unidentified_Tomentella
X_0072	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Unidentified_Malus
X_0073	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	Unidentified_Pyrus
X_0077	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0078	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Unidentified_Tomentella
X_0084	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Unidentified_Lactarius
X_0086	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita_detersa
X_0089	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Tilia	Unidentified_Tilia
X_0090	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0092	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0093	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0094	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Unidentified_Tomentella
X_0095	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0096	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0099	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0103	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0104	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_amicta
X_0107	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0110	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_metata
X_0117	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula	Unidentified_Betula
X_0118	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Unidentified_Inocybe
X_0127	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0128	Eukaryota	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Unidentified_Tuber
X_0129	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Unidentified_Lactarius
X_0130	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Unidentified_Tomentella
X_0131	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Unidentified_Cortinariaceae	Unidentified_Cortinariaceae
X_0133	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Unidentified_Amanita
X_0134	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Unidentified_Malus
X_0136	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Unidentified_Tomentella
X_0145	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0153	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0154	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0163	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	Unidentified_Fagus
X_0166	Eukaryota	Fungi	Basidiomycota	Unidentified_Basidiomycota	Unidentified_Basidiomycota	Unidentified_Basidiomycota	Unidentified_Basidiomycota	Unidentified_Basidiomycota
X_0171	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0172	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0173	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0174	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Unidentified_Acer
X_0184	Eukaryota	Fungi	Ascomycota	Dothideomycetes	any_Order_of_Dothideomycetes	Gloniaceae	Cenococcum	uncultured_Cenococcum
X_0185	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0187	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	any_Family_of_Agaricales	Naucoria	Unidentified_Naucoria
X_0189	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Camposporium	Unidentified_Camposporium
X_0192	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0196	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Unidentified_Tricholoma
X_0198	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Unidentified_Tomentella
X_0200	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0201	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0203	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Unidentified_Clavulina
X_0207	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0209	Eukaryota	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_verticillata
X_0214	Eukaryota	Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Geoglossum	Geoglossum_simile
X_0215	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_sublilacina
X_0216	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	Toxicodendron	Unidentified_Toxicodendron
X_0217	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0218	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	Unidentified_Galerina
X_0219	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0221	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0225	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Unidentified_Amanita
X_0226	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Unidentified_Araliaceae	Unidentified_Araliaceae
X_0227	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	any_Family_of_Auriculariales	Oliveonia	Oliveonia_sp._VM-2020n
X_0230	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0234	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0240	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0244	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0245	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Unidentified_Laccaria
X_0248	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0252	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0254	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0257	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0258	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0259	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0262	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Unidentified_Vitis
X_0263	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Unidentified_Hyaloscypha
X_0264	Eukaryota	Fungi	Ascomycota	Unidentified_Ascomycota	Unidentified_Ascomycota	Unidentified_Ascomycota	Unidentified_Ascomycota	Unidentified_Ascomycota
X_0267	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Unidentified_Lactarius
X_0268	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Unidentified_Rosaceae	Unidentified_Rosaceae
X_0269	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0271	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Unidentified_Dothideomycetes	Unidentified_Dothideomycetes	Unidentified_Dothideomycetes	Unidentified_Dothideomycetes
X_0278	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0279	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0284	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0285	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
X_0287	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism	Unidentified_organism
X_0291	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Unidentified_Russula
