"","ID","target","site","sample_type","sampling","plant","site2","x","y","y_m","x_m"
"NF_0004","NF_0004","fungi","19","root","root","Betula","p019",36.52181,138.34983,-132862.495,58920.032
"NF_0009","NF_0009","fungi","20","root","root","Betula","p020",36.52183,138.34988,-132857.983,58922.182
"NF_0011","NF_0011","fungi","20","root","root","Larix","p020",36.52183,138.34988,-132857.983,58922.182
"NF_0014","NF_0014","fungi","20","root","root","Pinus","p020",36.52183,138.34988,-132857.983,58922.182
"NF_0017","NF_0017","fungi","21","root","root","Betula","p021",36.52184,138.34998,-132849.009,58923.154
"NF_0018","NF_0018","fungi","21","root","root","Toxicodendron","p021",36.52184,138.34998,-132849.009,58923.154
"NF_0019","NF_0019","fungi","21","root","root","Toxicodendron","p021",36.52184,138.34998,-132849.009,58923.154
"NF_0020","NF_0020","fungi","21","root","root","Unidentified","p021",36.52184,138.34998,-132849.009,58923.154
"NF_0021","NF_0021","fungi","21","root","root","Toxicodendron","p021",36.52184,138.34998,-132849.009,58923.154
"NF_0022","NF_0022","fungi","21","root","root","Toxicodendron","p021",36.52184,138.34998,-132849.009,58923.154
"NF_0023","NF_0023","fungi","21","root","root","Toxicodendron","p021",36.52184,138.34998,-132849.009,58923.154
"NF_0026","NF_0026","fungi","22","root","root","Unidentified","p022",36.522,138.35001,-132846.049,58940.867
"NF_0027","NF_0027","fungi","22","root","root","Toxicodendron","p022",36.522,138.35001,-132846.049,58940.867
"NF_0028","NF_0028","fungi","22","root","root","Toxicodendron","p022",36.522,138.35001,-132846.049,58940.867
"NF_0029","NF_0029","fungi","22","root","root","Toxicodendron","p022",36.522,138.35001,-132846.049,58940.867
"NF_0030","NF_0030","fungi","22","root","root","Betula","p022",36.522,138.35001,-132846.049,58940.867
"NF_0032","NF_0032","fungi","22","root","root","Toxicodendron","p022",36.522,138.35001,-132846.049,58940.867
"NF_0033","NF_0033","fungi","23","root","root","Acer","p023",36.52207,138.35005,-132842.346,58948.58
"NF_0034","NF_0034","fungi","23","root","root","Acer","p023",36.52207,138.35005,-132842.346,58948.58
"NF_0035","NF_0035","fungi","23","root","root","Acer","p023",36.52207,138.35005,-132842.346,58948.58
"NF_0036","NF_0036","fungi","23","root","root","Acer","p023",36.52207,138.35005,-132842.346,58948.58
"NF_0037","NF_0037","fungi","23","root","root","Acer","p023",36.52207,138.35005,-132842.346,58948.58
"NF_0038","NF_0038","fungi","23","root","root","Acer","p023",36.52207,138.35005,-132842.346,58948.58
"NF_0039","NF_0039","fungi","23","root","root","Acer","p023",36.52207,138.35005,-132842.346,58948.58
"NF_0040","NF_0040","fungi","23","root","root","Acer","p023",36.52207,138.35005,-132842.346,58948.58
"NF_0041","NF_0041","fungi","24","root","root","Pinus","p024",36.52208,138.35011,-132836.955,58949.607
"NF_0042","NF_0042","fungi","24","root","root","Pinus","p024",36.52208,138.35011,-132836.955,58949.607
"NF_0043","NF_0043","fungi","24","root","root","Pinus","p024",36.52208,138.35011,-132836.955,58949.607
"NF_0046","NF_0046","fungi","24","root","root","Pinus","p024",36.52208,138.35011,-132836.955,58949.607
"NF_0047","NF_0047","fungi","24","root","root","Pinus","p024",36.52208,138.35011,-132836.955,58949.607
"NF_0049","NF_0049","fungi","25","root","root","Toxicodendron","p025",36.52214,138.3502,-132828.792,58956.141
"NF_0050","NF_0050","fungi","25","root","root","Toxicodendron","p025",36.52214,138.3502,-132828.792,58956.141
"NF_0053","NF_0053","fungi","25","root","root","Toxicodendron","p025",36.52214,138.3502,-132828.792,58956.141
"NF_0054","NF_0054","fungi","25","root","root","Toxicodendron","p025",36.52214,138.3502,-132828.792,58956.141
"NF_0055","NF_0055","fungi","25","root","root","Pinus","p025",36.52214,138.3502,-132828.792,58956.141
"NF_0057","NF_0057","fungi","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NF_0058","NF_0058","fungi","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NF_0059","NF_0059","fungi","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NF_0060","NF_0060","fungi","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NF_0061","NF_0061","fungi","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NF_0062","NF_0062","fungi","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NF_0063","NF_0063","fungi","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NF_0064","NF_0064","fungi","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NF_0066","NF_0066","fungi","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NF_0067","NF_0067","fungi","27","root","root","Quercus","p027",36.52208,138.35039,-132811.877,58949.22
"NF_0068","NF_0068","fungi","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NF_0069","NF_0069","fungi","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NF_0071","NF_0071","fungi","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NF_0072","NF_0072","fungi","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NF_0073","NF_0073","fungi","28","root","root","Betula","p028",36.5221,138.35047,-132804.677,58951.329
"NF_0075","NF_0075","fungi","28","root","root","Betula","p028",36.5221,138.35047,-132804.677,58951.329
"NF_0076","NF_0076","fungi","28","root","root","Betula","p028",36.5221,138.35047,-132804.677,58951.329
"NF_0079","NF_0079","fungi","28","root","root","Betula","p028",36.5221,138.35047,-132804.677,58951.329
"NF_0080","NF_0080","fungi","28","root","root","Betula","p028",36.5221,138.35047,-132804.677,58951.329
"NF_0082","NF_0082","fungi","29","root","root","Quercus","p029",36.52083,138.34919,-132921.494,58812.166
"NF_0084","NF_0084","fungi","29","root","root","Quercus","p029",36.52083,138.34919,-132921.494,58812.166
"NF_0085","NF_0085","fungi","29","root","root","Acer","p029",36.52083,138.34919,-132921.494,58812.166
"NF_0086","NF_0086","fungi","29","root","root","Quercus","p029",36.52083,138.34919,-132921.494,58812.166
"NF_0087","NF_0087","fungi","29","root","root","Quercus","p029",36.52083,138.34919,-132921.494,58812.166
"NF_0090","NF_0090","fungi","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NF_0091","NF_0091","fungi","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NF_0092","NF_0092","fungi","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NF_0093","NF_0093","fungi","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NF_0094","NF_0094","fungi","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NF_0095","NF_0095","fungi","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NF_0096","NF_0096","fungi","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NF_0099","NF_0099","fungi","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NF_0100","NF_0100","fungi","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NF_0101","NF_0101","fungi","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NF_0102","NF_0102","fungi","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NF_0103","NF_0103","fungi","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NF_0104","NF_0104","fungi","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NF_0105","NF_0105","fungi","34","root","root","Quercus","p034",36.52136,138.34889,-132947.457,58871.394
"NF_0106","NF_0106","fungi","34","root","root","Quercus","p034",36.52136,138.34889,-132947.457,58871.394
"NF_0107","NF_0107","fungi","34","root","root","Unidentified","p034",36.52136,138.34889,-132947.457,58871.394
"NF_0110","NF_0110","fungi","34","root","root","Quercus","p034",36.52136,138.34889,-132947.457,58871.394
"NF_0113","NF_0113","fungi","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NF_0114","NF_0114","fungi","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NF_0118","NF_0118","fungi","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NF_0119","NF_0119","fungi","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NF_0121","NF_0121","fungi","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NF_0123","NF_0123","fungi","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NF_0124","NF_0124","fungi","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NF_0125","NF_0125","fungi","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NF_0126","NF_0126","fungi","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NF_0129","NF_0129","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0130","NF_0130","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0131","NF_0131","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0133","NF_0133","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0134","NF_0134","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0136","NF_0136","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0137","NF_0137","fungi","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NF_0142","NF_0142","fungi","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NF_0143","NF_0143","fungi","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NF_0144","NF_0144","fungi","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NF_0145","NF_0145","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0146","NF_0146","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
