Genus,Mycorrhizal type
Aa,OM
Aaronsohnia,AM
Abarema,AM
Abatia,AM
Abdra,NM
Abeliophyllum,AM
Abelmoschus,AM
Abies,EcM
Abobra,AM
Abolboda,NM-AM
Abroma,AM
Abronia,NM-AM
Abrophyllum,AM
Abrotanella,AM
Abrus,AM
Abuta,AM
Abutilon,AM
Acacia,EcM-AM
Acaciella,AM
Acaena,AM
Acalypha,AM
Acampe,OM
Acamptopappus,AM
Acantharia,AM
Acanthella,AM
Acanthinopsis,AM
Acanthocalycium,AM
Acanthocarpus,AM
Acanthocephalus,AM
Acanthocereus,AM
Acanthochlamys,AM
Acanthocladium,EcM-AM
Acanthocladus,AM
Acanthodesmos,AM
Acanthogilia,AM
Acantholepis,AM
Acantholimon,NM-AM
Acantholippia,AM
Acanthomintha,AM
Acanthopale,NM-AM
Acanthophippium,OM
Acanthophoenix,AM
Acanthophyllum,NM
Acanthoprasium,AM
Acanthopsis,NM-AM
Acanthorrhinum,NM-AM
Acanthosalpingolobivia,AM
Acanthoscyphus,NM-AM
Acanthosicyos,AM
Acanthospermum,AM
Acanthostachys,NM-AM
Acanthostyles,AM
Acanthosyris,NM-AM
Acanthothamnus,AM
Acanthus,NM-AM
Acareosperma,AM
Acaulimalva,AM
Acca,AM
Accara,AM
Acer,AM
Aceratium,AM
Acharagma,AM
Acharia,AM
Achatocarpus,EcM-AM
Achetaria,NM-AM
Achillea,AM
Achimenes,AM
Achlydosa,OM
Achlyphila,NM-AM
Achlys,AM
Achnatherum,AM
Achnophora,AM
Achnopogon,AM
Achuaria,AM
Achudemia,NM-AM
Achyrachaena,AM
Achyranthes,NM-AM
Achyrocalyx,NM-AM
Achyrocline,AM
Achyronychia,NM-AM
Achyropappus,AM
Achyropsis,NM-AM
Achyrospermum,AM
Aciachne,AM
Acianthera,OM
Acianthus,OM
Acicarpha,AM
Acidocroton,AM
Acidonia,NM
Acidosasa,AM
Acidoton,AM
Acineta,OM
Acinodendron,AM
Acioa,AM
Aciotis,AM
Aciphylla,AM
Acis,AM
Acisanthera,AM
Ackama,AM
Acleisanthes,NM-AM
Acmadenia,AM
Acmanthera,AM
Acmella,AM
Acmena,AM
Acmispon,AM
Acmopyle,AM
Acnistus,AM
Acoelorrhaphe,AM
Acokanthera,AM
Acomastylis,AM
Acomis,EcM-AM
Aconitum,AM
Acorus,NM-AM
Acosmium,AM
Acostia,AM
Acourtia,AM
Acrachne,AM
Acradenia,AM
Acranthera,AM
Acridocarpus,AM
Acriopsis,OM
Acrisione,AM
Acritochaete,AM
Acritopappus,AM
Acrobotrys,AM
Acrocarpus,AM
Acroceras,AM
Acrocomia,AM
Acrodon,NM-AM
Acroglochin,NM-AM
Acrolophia,OM
Acronema,AM
Acronychia,AM
Acropelta,AM
Acrophorus,AM
Acrophyllum,AM
Acropogon,AM
Acrorchis,OM
Acrorumohra,AM
Acrosanthes,NM-AM
Acrosorus,AM
Acrostichum,AM
Acrosynanthus,AM
Acrothamnus,ErM
Acrotome,AM
Acrotrema,AM
Acrotriche,ErM
Acrymia,AM
Actaea,AM
Actephila,uncertain
Actinanthella,NM
Actinanthus,AM
Actinidia,AM
Actiniopteris,AM
Actinobole,AM
Actinocarya,NM-AM
Actinocephalus,AM
Actinocheita,AM
Actinocladum,AM
Actinodaphne,AM
Actinodium,EcM-AM
Actinokentia,AM
Actinolema,AM
Actinorhytis,AM
Actinoschoenus,NM-AM
Actinoscirpus,NM-AM
Actinostachys,AM
Actinostemma,AM
Actinostemon,AM
Actinostrobus,AM
Actinotus,AM
Acunaeanthus,AM
Acuston,NM
Acystopteris,AM
Adamantinia,OM
Adansonia,AM
Adelaida,NM-AM
Adelia,AM
Adelinia,NM-AM
Adelobotrys,AM
Adelocaryum,NM-AM
Adelonema,NM-AM
Adelostigma,AM
Adelphacme,AM
Adelphia,AM
Adenandra,AM
Adenanthellum,AM
Adenanthera,AM
Adenanthos,NM
Adenarake,NM-AM
Adenaria,AM
Adenia,AM
Adenium,AM
Adenoa,AM
Adenocalymma,AM
Adenocarpus,AM
Adenocaulon,AM
Adenochilus,OM
Adenochlaena,AM
Adenocline,AM
Adenocritonia,AM
Adenodaphne,AM
Adenoderris,AM
Adenodolichos,AM
Adenoglossa,AM
Adenogramma,NM-AM
Adenolobus,AM
Adenoncos,OM
Adenoon,AM
Adenopeltis,AM
Adenophaedra,AM
Adenophora,AM
Adenophorus,AM
Adenophyllum,AM
Adenopodia,AM
Adenorandia,AM
Adenosciadium,AM
Adenosma,NM-AM
Adenostemma,AM
Adenostoma,EcM-AM
Adenostyles,uncertain
Adenothamnus,AM
Adesmia,AM
Adhunia,AM
Adiantopsis,AM
Adiantum,AM
Adina,AM
Adinandra,AM
Adiscanthus,AM
Adlumia,NM-AM
Adolphia,AM
Adonidia,AM
Adonis,AM
Adoxa,NM-AM
Adriana,AM
Adromischus,NM-AM
Adrorhizon,OM
Aechmea,NM
Aedesia,AM
Aegialitis,NM-AM
Aegiceras,AM
Aegilops,AM
Aegilotriticum,AM
Aeginetia,NM-AM
Aegiphila,AM
Aegle,AM
Aeglopsis,AM
Aegokeras,AM
Aegonychon,NM-AM
Aegopodium,AM
Aeluropus,NM-AM
Aenhenrya,OM
Aenictophyton,EcM-AM
Aenigmatanthera,AM
Aenigmopteris,AM
Aeollanthus,AM
Aeonium,NM-AM
Aequatorium,AM
Aerangis,OM
Aeranthes,OM
Aerides,OM
Aerva,NM-AM
Aeschynanthus,AM
Aeschynomene,AM
Aesculus,AM
Aetanthus,NM
Aetheolaena,AM
Aetheolirion,NM-AM
Aetheorhiza,AM
Aetheorhyncha,OM
Aethionema,NM
Aethusa,AM
Aetoxylon,AM
Aextoxicon,AM
Afgekia,AM
Afraegle,AM
Aframmi,AM
Aframomum,AM
Afraurantium,AM
Afrobrunnichia,NM-AM
Afrocalathea,AM
Afrocalliandra,AM
