Manual_guild_change,Kingdom,Phylum,Class,Order,Family,Genus,Guild
changed,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,EcMF
changed,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Pseudoclathrosphaerina,Endophyte
changed,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Pathogen
changed,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Endophyte
changed,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leptodontidiaceae,Leptodontidium,Endophyte
changed,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Pathogen
changed,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Pathogen
NA,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporales_fam_Incertae_sedis,Archaeosporales_gen_Incertae_sedis,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unidentified,AMF
NA,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,AMF
NA,Fungi,Glomeromycota,Unidentified,Unidentified,Unidentified,Unidentified,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,AMF
NA,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Unidentified,Unidentified,AMF
NA,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,AMF
NA,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Unidentified,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Unidentified,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Oehlia,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Unidentified,Unidentified,Unidentified,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Cetraspora,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Scutellospora,AMF
NA,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Unidentified,AMF
NA,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Naucoria,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,EcMF
NA,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Hydnum,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Clavulina,EcMF
NA,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Pachyphlodes,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Tylosporaceae,Amphinema,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentellopsis,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,EcMF
NA,Fungi,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Hydnotrya,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hebeloma,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,EcMF
NA,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Phellodon,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Tremellodendron,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomus,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Polyozellus,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletellus,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Helvellosebacina,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Thaxterogaster,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Alpova,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Alnicola,EcMF
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Leotia,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,EcMF
NA,Fungi,Basidiomycota,Agaricomycetes,Boletales,Gomphidiaceae,Gomphidius,EcMF
