ID,target,site,sample_type,sampling
NF_0001,fungi,19,root,root
NF_0002,fungi,19,root,root
NF_0003,fungi,19,root,root
NF_0004,fungi,19,root,root
NF_0005,fungi,19,root,root
NF_0006,fungi,19,root,root
NF_0007,fungi,19,root,root
NF_0008,fungi,19,root,root
NF_0009,fungi,20,root,root
NF_0010,fungi,20,root,root
NF_0011,fungi,20,root,root
NF_0012,fungi,20,root,root
NF_0013,fungi,20,root,root
NF_0014,fungi,20,root,root
NF_0015,fungi,20,root,root
NF_0016,fungi,20,root,root
NF_0017,fungi,21,root,root
NF_0018,fungi,21,root,root
NF_0019,fungi,21,root,root
NF_0020,fungi,21,root,root
NF_0021,fungi,21,root,root
NF_0022,fungi,21,root,root
NF_0023,fungi,21,root,root
NF_0024,fungi,21,root,root
NF_0025,fungi,22,root,root
NF_0026,fungi,22,root,root
NF_0027,fungi,22,root,root
NF_0028,fungi,22,root,root
NF_0029,fungi,22,root,root
NF_0030,fungi,22,root,root
NF_0031,fungi,22,root,root
NF_0032,fungi,22,root,root
NF_0033,fungi,23,root,root
NF_0034,fungi,23,root,root
NF_0035,fungi,23,root,root
NF_0036,fungi,23,root,root
NF_0037,fungi,23,root,root
NF_0038,fungi,23,root,root
NF_0039,fungi,23,root,root
NF_0040,fungi,23,root,root
NF_0041,fungi,24,root,root
NF_0042,fungi,24,root,root
NF_0043,fungi,24,root,root
NF_0044,fungi,24,root,root
NF_0045,fungi,24,root,root
NF_0046,fungi,24,root,root
NF_0047,fungi,24,root,root
NF_0048,fungi,24,root,root
NF_0049,fungi,25,root,root
NF_0050,fungi,25,root,root
NF_0051,fungi,25,root,root
NF_0052,fungi,25,root,root
NF_0053,fungi,25,root,root
NF_0054,fungi,25,root,root
NF_0055,fungi,25,root,root
NF_0056,fungi,25,root,root
NF_0057,fungi,26,root,root
NF_0058,fungi,26,root,root
NF_0059,fungi,26,root,root
NF_0060,fungi,26,root,root
NF_0061,fungi,26,root,root
NF_0062,fungi,26,root,root
NF_0063,fungi,26,root,root
NF_0064,fungi,26,root,root
NF_0065,fungi,27,root,root
NF_0066,fungi,27,root,root
NF_0067,fungi,27,root,root
NF_0068,fungi,27,root,root
NF_0069,fungi,27,root,root
NF_0070,fungi,27,root,root
NF_0071,fungi,27,root,root
NF_0072,fungi,27,root,root
NF_0073,fungi,28,root,root
NF_0074,fungi,28,root,root
NF_0075,fungi,28,root,root
NF_0076,fungi,28,root,root
NF_0077,fungi,28,root,root
NF_0078,fungi,28,root,root
NF_0079,fungi,28,root,root
NF_0080,fungi,28,root,root
NF_0081,fungi,29,root,root
NF_0082,fungi,29,root,root
